2, [-0.10911368578672409, 0.1430360972881317, 0.8005000352859497]
3, [NaN, NaN, NaN]
4, [NaN, NaN, NaN]
5, [0.20071405172348022, 0.08664008229970932, 0.6112500429153442]
6, [NaN, NaN, NaN]
7, [NaN, NaN, NaN]
8, [NaN, NaN, NaN]
9, [NaN, NaN, NaN]
10, [NaN, NaN, NaN]
11, [NaN, NaN, NaN]
12, [NaN, NaN, NaN]
13, [NaN, NaN, NaN]
14, [-0.06174418330192566, -0.11120498180389404, 0.6737500429153442]
15, [-0.0034161764197051525, -0.1155238151550293, 0.6522500514984131]
16, [NaN, NaN, NaN]
17, [0.07834261655807495, -0.10150166600942612, 0.7277500629425049]
0, [-0.0459904782474041, -0.07630139589309692, 0.6330000162124634]
1, [0.0515037402510643, 0.11517386883497238, 0.6710000038146973]
2, [-0.10948094725608826, 0.14797577261924744, 0.8030000329017639]
3, [NaN, NaN, NaN]
4, [NaN, NaN, NaN]
5, [0.20120659470558167, 0.08685269206762314, 0.6127500534057617]
6, [NaN, NaN, NaN]
7, [NaN, NaN, NaN]
8, [NaN, NaN, NaN]
9, [NaN, NaN, NaN]
10, [NaN, NaN, NaN]
11, [NaN, NaN, NaN]
12, [NaN, NaN, NaN]
13, [NaN, NaN, NaN]
14, [-0.06204202026128769, -0.11174140870571136, 0.6770000457763672]
15, [-0.0034214139450341463, -0.11570093035697937, 0.6532500386238098]
16, [NaN, NaN, NaN]
17, [0.0777774453163147, -0.10076942294836044, 0.7225000262260437]
0, [-0.04579067975282669, -0.07596991956233978, 0.6302500367164612]
1, [0.055164843797683716, 0.11505718529224396, 0.6702500581741333]
2, [-0.10954912006855011, 0.1480679214000702, 0.8035000562667847]
3, [NaN, NaN, NaN]
4, [NaN, NaN, NaN]
5, [0.20054985582828522, 0.08656920492649078, 0.6107500195503235]
6, [NaN, NaN, NaN]
7, [NaN, NaN, NaN]
8, [NaN, NaN, NaN]
9, [NaN, NaN, NaN]
10, [NaN, NaN, NaN]
11, [NaN, NaN, NaN]
12, [NaN, NaN, NaN]
13, [NaN, NaN, NaN]
14, [-0.06208783760666847, -0.1118239313364029, 0.6775000095367432]
15, [-0.00340832001529634, -0.11525814235210419, 0.6507500410079956]
16, [NaN, NaN, NaN]
17, [0.081857830286026, -0.09687002748250961, 0.7232500314712524]
0, [-0.045609042048454285, -0.075668565928936, 0.627750039100647]
1, [0.05137481167912483, 0.11043236404657364, 0.6695000529289246]
2, [-0.1089015007019043, 0.1471925973892212, 0.7987500429153442]
3, [NaN, NaN, NaN]
4, [NaN, NaN, NaN]
5, [0.20044726133346558, 0.08243660628795624, 0.6105000376701355]
6, [NaN, NaN, NaN]
7, [NaN, NaN, NaN]
8, [NaN, NaN, NaN]
9, [NaN, NaN, NaN]
10, [NaN, NaN, NaN]
11, [NaN, NaN, NaN]
12, [NaN, NaN, NaN]
13, [NaN, NaN, NaN]
14, [-0.06179000064730644, -0.11128750443458557, 0.6742500066757202]
15, [-0.0033891082275658846, -0.11035426706075668, 0.6475000381469727]
16, [NaN, NaN, NaN]
17, [0.07754899561405182, -0.09648846089839935, 0.7205000519752502]
